Vivado Simulator 2020.1
Time resolution is 1 ps
Time=23050000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=23150000 | PC=84 | Inst=fe0004e3 | LEDs=5 | switches=5 | rst=0
Time=23250000 | PC=60 | Inst=00c32023 | LEDs=5 | switches=5 | rst=0
Time=23350000 | PC=64 | Inst=00060c63 | LEDs=4 | switches=5 | rst=0
Time=23450000 | PC=68 | Inst=fff60613 | LEDs=4 | switches=5 | rst=0
Time=23550000 | PC=72 | Inst=00300693 | LEDs=4 | switches=5 | rst=0
Time=23650000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=23750000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=23850000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=23950000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=24050000 | PC=76 | Inst=fff68693 | LEDs=4 | switches=5 | rst=0
Time=24150000 | PC=80 | Inst=fe069ee3 | LEDs=4 | switches=5 | rst=0
Time=24250000 | PC=84 | Inst=fe0004e3 | LEDs=4 | switches=5 | rst=0
Time=24350000 | PC=60 | Inst=00c32023 | LEDs=4 | switches=5 | rst=0
Time=24450000 | PC=64 | Inst=00060c63 | LEDs=3 | switches=5 | rst=0
Time=24550000 | PC=68 | Inst=fff60613 | LEDs=3 | switches=5 | rst=0
Time=24650000 | PC=72 | Inst=00300693 | LEDs=3 | switches=5 | rst=0
Time=24750000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=24850000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
Time=24950000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=25050000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
Time=25150000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=25250000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
Time=25350000 | PC=84 | Inst=fe0004e3 | LEDs=3 | switches=5 | rst=0
Time=25450000 | PC=60 | Inst=00c32023 | LEDs=3 | switches=5 | rst=0
Time=25550000 | PC=64 | Inst=00060c63 | LEDs=2 | switches=5 | rst=0
Time=25650000 | PC=68 | Inst=fff60613 | LEDs=2 | switches=5 | rst=0
Time=25750000 | PC=72 | Inst=00300693 | LEDs=2 | switches=5 | rst=0
Time=25850000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=25950000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=26050000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=26150000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=26250000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=26350000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=26450000 | PC=84 | Inst=fe0004e3 | LEDs=2 | switches=5 | rst=0
Time=26550000 | PC=60 | Inst=00c32023 | LEDs=2 | switches=5 | rst=0
Time=26650000 | PC=64 | Inst=00060c63 | LEDs=1 | switches=5 | rst=0
Time=26750000 | PC=68 | Inst=fff60613 | LEDs=1 | switches=5 | rst=0
Time=26850000 | PC=72 | Inst=00300693 | LEDs=1 | switches=5 | rst=0
Time=26950000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=27050000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=27150000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=27250000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=27350000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=27450000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=27550000 | PC=84 | Inst=fe0004e3 | LEDs=1 | switches=5 | rst=0
Time=27650000 | PC=60 | Inst=00c32023 | LEDs=1 | switches=5 | rst=0
Time=27750000 | PC=64 | Inst=00060c63 | LEDs=0 | switches=5 | rst=0
Time=27850000 | PC=88 | Inst=00032023 | LEDs=0 | switches=5 | rst=0
Time=27950000 | PC=92 | Inst=00012603 | LEDs=0 | switches=5 | rst=0
Time=28050000 | PC=96 | Inst=00412083 | LEDs=0 | switches=5 | rst=0
Time=28150000 | PC=100 | Inst=00810113 | LEDs=0 | switches=5 | rst=0
Time=28250000 | PC=104 | Inst=00008067 | LEDs=0 | switches=5 | rst=0
Time=28350000 | PC=40 | Inst=fe0006e3 | LEDs=0 | switches=5 | rst=0
Time=28450000 | PC=20 | Inst=00032023 | LEDs=0 | switches=5 | rst=0
Time=28550000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=5 | rst=0
Time=28650000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=5 | rst=0
Time=28750000 | PC=32 | Inst=00058533 | LEDs=0 | switches=5 | rst=0
Time=28850000 | PC=36 | Inst=008000ef | LEDs=0 | switches=5 | rst=0
Time=28950000 | PC=44 | Inst=ff810113 | LEDs=0 | switches=5 | rst=0
Time=29050000 | PC=48 | Inst=00112223 | LEDs=0 | switches=5 | rst=0
Time=29150000 | PC=52 | Inst=00c12023 | LEDs=0 | switches=5 | rst=0
Time=29200000 | PC=52 | Inst=00c12023 | LEDs=0 | switches=0 | rst=0
Time=29250000 | PC=56 | Inst=00050633 | LEDs=0 | switches=0 | rst=0
